Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-22,1.3382,1.3382,1.3349,1.3381,0,0,0
2019-04-23,1.3343,1.3428,1.3343,1.3345,0,0,0
2019-04-24,1.3429,1.3516,1.3428,1.3428,0,0,0
2019-04-25,1.3494,1.3516,1.3481,1.3493,0,0,0
2019-04-26,1.3479,1.3497,1.345,1.3478,0,0,0
2019-04-29,1.346,1.3479,1.3446,1.346,0,0,0
2019-04-30,1.3455,1.348,1.3424,1.3455,0,0,0
2019-05-01,1.339,1.3422,1.3375,1.3388,0,0,0
2019-05-02,1.3439,1.3475,1.3429,1.3439,0,0,0
2019-05-03,1.347,1.3482,1.3405,1.3469,0,0,0
2019-05-06,1.347,1.3493,1.3443,1.3472,0,0,0
2019-05-07,1.345,1.3483,1.3411,1.3449,0,0,0
2019-05-08,1.3473,1.3486,1.3443,1.3469,0,0,0
2019-05-09,1.3473,1.3503,1.347,1.3472,0,0,0
2019-05-10,1.3461,1.3478,1.338,1.3465,0,0,0
2019-05-13,1.344,1.3476,1.3418,1.3439,0,0,0
2019-05-14,1.3477,1.3486,1.3455,1.3476,0,0,0
2019-05-15,1.3459,1.3492,1.3427,1.346,0,0,0
2019-05-16,1.3443,1.3445,1.3399,1.3442,0,0,0
2019-05-17,1.3464,1.3512,1.3451,1.3462,0,0,0
2019-05-20,1.3446,1.3446,1.3416,1.3447,0,0,0
2019-05-21,1.3425,1.3433,1.3396,1.3427,0,0,0
2019-05-23,1.3437,1.3501,1.3435,1.3436,0,0,0
2019-05-24,1.3474,1.3481,1.344,1.3474,0,0,0
2019-05-27,1.3438,1.3452,1.3428,1.3435,0,0,0
2019-05-28,1.3437,1.3479,1.3432,1.3438,0,0,0
2019-05-29,1.3488,1.3541,1.348,1.3487,0,0,0
2019-05-30,1.3513,1.3519,1.3484,1.3512,0,0,0
2019-05-31,1.3531,1.3562,1.3508,1.3525,0,0,0
2019-06-03,1.3519,1.3523,1.3462,1.352,0,0,0
2019-06-04,1.344,1.3446,1.3417,1.3441,0,0,0
2019-06-05,1.339,1.341,1.3361,1.339,0,0,0
2019-06-06,1.3422,1.3429,1.3362,1.342,0,0,0
2019-06-07,1.3357,1.3366,1.3266,1.3354,0,0,0
2019-06-10,1.3267,1.3278,1.3252,1.3269,0,0,0
2019-06-11,1.3265,1.3293,1.3249,1.3265,0,0,0
2019-06-12,1.3279,1.3304,1.3273,1.328,0,0,0
2019-06-13,1.3334,1.3339,1.3299,1.3333,0,0,0
2019-06-14,1.3325,1.3387,1.3325,1.3327,0,0,0
2019-06-17,1.3408,1.3418,1.3393,1.3409,0,0,0
2019-06-18,1.3408,1.3432,1.3384,1.341,0,0,0
2019-06-19,1.3373,1.3382,1.334,1.3374,0,0,0
2019-06-20,1.3269,1.3269,1.3152,1.327,0,0,0
2019-06-21,1.3185,1.3225,1.3163,1.3183,0,0,0
2019-06-24,1.3201,1.3213,1.3176,1.32,0,0,0
2019-06-25,1.3182,1.3195,1.3152,1.3181,0,0,0
2019-06-26,1.3174,1.3191,1.311,1.3178,0,0,0
2019-06-27,1.3123,1.3137,1.3107,1.3121,0,0,0
2019-06-28,1.3094,1.3101,1.3063,1.3094,0,0,0
2019-07-01,1.309,1.3127,1.3083,1.309,0,0,0
2019-07-02,1.3134,1.3137,1.3107,1.3132,0,0,0
2019-07-03,1.31,1.3118,1.3065,1.3096,0,0,0
2019-07-04,1.3057,1.3079,1.3038,1.3057,0,0,0
2019-07-05,1.3048,1.3136,1.3046,1.3048,0,0,0
2019-07-08,1.3078,1.3098,1.3049,1.3076,0,0,0
2019-07-09,1.3103,1.3137,1.3096,1.3102,0,0,0
2019-07-10,1.3129,1.3139,1.3068,1.3125,0,0,0
2019-07-11,1.3073,1.309,1.304,1.3073,0,0,0
2019-07-12,1.3069,1.3069,1.3016,1.3068,0,0,0
2019-07-15,1.3032,1.305,1.3019,1.3033,0,0,0
2019-07-16,1.3048,1.3063,1.3021,1.3047,0,0,0
2019-07-17,1.3085,1.3092,1.3039,1.3087,0,0,0
2019-07-18,1.3055,1.3094,1.3039,1.3053,0,0,0
2019-07-19,1.3034,1.3106,1.3023,1.3036,0,0,0
2019-07-22,1.3055,1.3117,1.304,1.3052,0,0,0
2019-07-23,1.3129,1.3162,1.312,1.3126,0,0,0
2019-07-24,1.314,1.3146,1.3118,1.3139,0,0,0
2019-07-25,1.3144,1.3151,1.3115,1.3143,0,0,0
2019-07-26,1.3161,1.3197,1.3154,1.3158,0,0,0
2019-07-29,1.3168,1.3182,1.3148,1.3169,0,0,0
2019-07-30,1.3165,1.319,1.3159,1.3163,0,0,0
2019-07-31,1.3149,1.3156,1.3108,1.3148,0,0,0
2019-08-01,1.3195,1.3246,1.3193,1.3193,0,0,0
2019-08-02,1.3212,1.3265,1.3208,1.3214,0,0,0
2019-08-05,1.3203,1.3247,1.3178,1.3203,0,0,0
2019-08-06,1.3215,1.3266,1.3187,1.3214,0,0,0
2019-08-07,1.3281,1.3344,1.3269,1.328,0,0,0
2019-08-08,1.3313,1.3313,1.3237,1.3312,0,0,0
2019-08-09,1.3229,1.3273,1.3206,1.3228,0,0,0
2019-08-12,1.3215,1.3249,1.3213,1.3217,0,0,0
2019-08-13,1.3235,1.329,1.319,1.3236,0,0,0
2019-08-14,1.3214,1.3321,1.3211,1.3212,0,0,0
2019-08-15,1.3309,1.3338,1.3287,1.331,0,0,0
2019-08-16,1.3319,1.3324,1.3275,1.3317,0,0,0
2019-08-19,1.3268,1.3308,1.3251,1.3267,0,0,0
2019-08-20,1.3329,1.3343,1.3308,1.3328,0,0,0
2019-08-21,1.3318,1.3318,1.3253,1.3315,0,0,0
2019-08-22,1.3286,1.3314,1.3275,1.3286,0,0,0
2019-08-23,1.3295,1.3339,1.3279,1.3295,0,0,0
2019-08-26,1.3312,1.3314,1.3268,1.3313,0,0,0
2019-08-27,1.3253,1.3283,1.3223,1.3252,0,0,0
2019-08-28,1.3285,1.3318,1.3284,1.3285,0,0,0
2019-08-29,1.3307,1.3318,1.3271,1.3307,0,0,0
2019-08-30,1.3283,1.331,1.3249,1.3281,0,0,0
2019-09-02,1.3318,1.3358,1.331,1.3317,0,0,0
2019-09-03,1.3333,1.3381,1.3327,1.3333,0,0,0
2019-09-04,1.3338,1.3338,1.3238,1.3338,0,0,0
2019-09-05,1.3225,1.3244,1.3192,1.3225,0,0,0
2019-09-06,1.3229,1.3234,1.3159,1.3229,0,0,0
2019-09-09,1.3169,1.3176,1.3139,1.3168,0,0,0
2019-09-10,1.3169,1.319,1.3135,1.3169,0,0,0
2019-09-11,1.3146,1.3201,1.3137,1.3146,0,0,0
